Player,Team,Nation,Position,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Playing Time_MP,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Wes Burns,Ipswich Town,wls WAL,MF,29.0,18.0,12,926.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10.3,0.0,7.0,1.0,14.3,0.68,0.1,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,45.0,10.0,11.0,N/a,N/a,0.0
Wes Foderingham,West Ham United,eng ENG,GK,33.0,0.0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Wesley Fofana,Chelsea,fr FRA,DF,23.0,14.0,14,1172.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,13.0,0.0,3.0,0.0,0.0,0.23,0.0,0.0,N/a,0.0,0.0,0.0,24.0,16.0,0.0,1.0,12.0,11.0,N/a,N/a,0.0
Wesley Okoduwa,Wolverhampton Wanderers,eng ENG,FW,16.0,0.0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Wilfred Ndidi,Leicester City,ng NGA,MF,27.0,N/a,28,2324.0,25.8,0.0,5.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.19,0.19,0.0,0.19,28.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,25.8,0.0,22.0,8.0,36.4,0.85,0.31,0.0,0.0,0.0,0.0,0.0,39.0,18.0,3.0,30.0,27.0,48.0,N/a,N/a,1.0
Will Alves,Leicester City,eng ENG,MF,19.0,N/a,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,0.0
Will Dennis,Bournemouth,eng ENG,GK,24.0,N/a,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Will Hughes,Crystal Palace,eng ENG,MF,29.0,33.0,24,2108.0,23.4,0.0,3.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.13,0.13,0.0,0.13,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,23.4,0.0,22.0,1.0,4.5,0.94,0.04,0.0,0.0,0.0,0.0,0.0,65.0,31.0,0.0,70.0,21.0,36.0,N/a,N/a,0.0
William Osula,Newcastle United,dk DEN,FW,20.0,14.0,0,134.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.67,0.67,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1.5,1.0,4.0,1.0,25.0,2.69,0.67,0.25,1.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,3.0,0.0,N/a,N/a,0.0
William Saliba,Arsenal,fr FRA,DF,23.0,35.0,35,3039.0,33.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.06,0.0,0.06,0.06,0.06,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,33.8,2.0,6.0,3.0,50.0,0.18,0.09,0.33,0.67,0.0,0.0,0.0,28.0,17.0,1.0,3.0,22.0,34.0,N/a,N/a,0.0
