Player,Team,Nation,Position,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Playing Time_MP,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Rico Lewis,Manchester City,eng ENG,"DF,MF",19.0,28.0,21,1893.0,21.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,0.05,0.1,0.14,0.05,0.14,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,21.0,1.0,10.0,2.0,20.0,0.48,0.1,0.1,0.5,0.0,0.0,1.0,12.0,34.0,0.0,7.0,14.0,17.0,N/a,N/a,0.0
Robert Sánchez,Chelsea,es ESP,GK,26.0,32.0,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,34.0,1.06,123.0,94.0,75.6,17.0,9.0,6.0,10.0,31.3,5.0,4.0,1.0,0.0,20.0,32.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,N/a,N/a,0.0
Rodrigo Muniz,Fulham,br BRA,FW,23.0,N/a,8,964.0,10.7,8.0,1.0,9.0,8.0,0.0,0.0,1.0,0.0,0.75,0.09,0.84,0.75,0.84,31.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10.7,8.0,40.0,19.0,47.5,3.73,1.77,0.2,0.42,0.0,0.0,0.0,11.0,31.0,3.0,1.0,4.0,6.0,N/a,N/a,0.0
Ryan Christie,Bournemouth,sct SCO,MF,29.0,N/a,27,2117.0,23.5,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,0.09,0.13,0.21,0.09,0.21,29.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,23.5,2.0,33.0,12.0,36.4,1.4,0.51,0.06,0.17,0.0,0.0,0.0,42.0,31.0,1.0,47.0,30.0,33.0,N/a,N/a,0.0
Ryan Gravenberch,Liverpool,nl NED,MF,22.0,37.0,37,3160.0,35.1,0.0,4.0,4.0,0.0,0.0,0.0,6.0,1.0,0.0,0.11,0.11,0.0,0.11,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,35.1,0.0,20.0,5.0,25.0,0.57,0.14,0.0,0.0,0.0,0.0,0.0,47.0,52.0,0.0,7.0,56.0,37.0,N/a,N/a,0.0
Ryan Manning,Southampton,ie IRL,"DF,MF",28.0,N/a,18,1462.0,16.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,24.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16.2,0.0,8.0,1.0,12.5,0.49,0.06,0.0,0.0,0.0,0.0,0.0,19.0,33.0,0.0,84.0,17.0,18.0,N/a,N/a,0.0
Ryan Yates,Nottingham Forest,eng ENG,MF,26.0,35.0,18,1915.0,21.3,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,0.09,0.05,0.14,0.09,0.14,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,21.3,2.0,33.0,9.0,27.3,1.55,0.42,0.06,0.22,0.0,0.0,0.0,54.0,48.0,7.0,8.0,25.0,21.0,N/a,N/a,0.0
Rúben Dias,Manchester City,pt POR,"DF,MF",27.0,27.0,25,2271.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,25.2,0.0,21.0,7.0,33.3,0.83,0.28,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,3.0,19.0,11.0,N/a,N/a,1.0
Sam Morsy,Ipswich Town,eg EGY,MF,32.0,33.0,31,2751.0,30.6,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,0.03,0.03,0.07,0.03,0.07,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,30.6,1.0,13.0,3.0,23.1,0.43,0.1,0.08,0.33,0.0,0.0,0.0,48.0,27.0,0.0,15.0,28.0,39.0,N/a,N/a,1.0
Sammie Szmodics,Ipswich Town,ie IRL,MF,28.0,20.0,13,992.0,11.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.36,0.0,0.36,0.36,0.36,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,11.0,4.0,21.0,12.0,57.1,1.91,1.09,0.19,0.33,0.0,0.0,0.0,9.0,8.0,8.0,14.0,5.0,12.0,N/a,N/a,0.0
