Player,Age,Team,Estimated Value
Jaidon Anthony,26,Burnley FC,€17.6M
Dominic Calvert-Lewin,28,Leeds United,€17.5M
Anton Stach,27,Leeds United,€17.5M
Noah Okafor,25,Leeds United,€17.4M
Angel Gomes,25,Wolverhampton Wanderers,€17.4M
Lewis Cook,29,Bournemouth,€17.4M
Jordan Pickford,31,Everton FC,€17.4M
Vitaly Janelt,27,Brentford FC,€17.1M
Jackson Tchatchoua,24,Wolverhampton Wanderers,€17M
Chadi Riad,22,Crystal Palace,€16.8M
Nicolò Savona,22,Nottingham Forest,€16.8M
Gabriel Gudmundsson,26,Leeds United,€16.7M
Leon Bailey,28,Aston Villa,€16.7M
James Justin,28,Leeds United,€16.7M
Alisson,33,Liverpool FC,€16.6M
Kenny Tete,30,Fulham FC,€16.3M
Ayden Heaven,19,Manchester United,€16.3M
Tammy Abraham,28,Aston Villa,€16.3M
Joël Piroe,26,Leeds United,€16.2M
Armando Broja,24,Burnley FC,€16.2M
Daniel James,28,Leeds United,€16.2M
Fábio Carvalho,23,Brentford FC,€16.1M
Josh King,19,Fulham FC,€16.1M
Mats Wieffer,26,Brighton & Hove Albion,€16M
Joe Willock,26,Newcastle United,€15.9M
Igor Julio,28,Brighton & Hove Albion,€15.3M
Reiss Nelson,26,Brentford FC,€15.3M
Toti,27,Wolverhampton Wanderers,€15.2M
Omar Alderete,29,Sunderland AFC,€15.2M
Emiliano Buendía,29,Aston Villa,€15.1M
Granit Xhaka,33,Sunderland AFC,€14.8M
Adam Aznou,19,Everton FC,€14.6M
Joe Gomez,28,Liverpool FC,€14.6M
Jayden Bogle,25,Leeds United,€14.4M
Kyle Walker-Peters,28,West Ham United,€14.4M
Ryan Yates ,28,Nottingham Forest,€14.3M
Bashir Humphreys,22,Burnley FC,€14.3M
Saša Lukić,29,Fulham FC,€14.3M
Taiwo Awoniyi ,28,Nottingham Forest,€14.3M
Marc Guiu,20,Chelsea,€14.2M
Timothy Castagne,30,Fulham FC,€14.1M
David Brooks,28,Bournemouth,€14.1M
Hugo Bueno,23,Wolverhampton Wanderers,€14M
Stefan Bajcetic,21,Liverpool FC,€14M
Senne Lammens,23,Manchester United,€13.9M
Joe Rodon,28,Leeds United,€13.8M
Dan Ballard,26,Sunderland AFC,€13.7M
Tomáš Souček,31,West Ham United,€13.6M
Rico Henry,28,Brentford FC,€13.6M
John Stones ,31,Manchester City,€13.5M
Santiago Bueno,27,Wolverhampton Wanderers,€13.5M
Yerson Mosquera,24,Wolverhampton Wanderers,€13.5M
Nathan Patterson,24,Everton FC,€13.4M
Illan Meslier,26,Leeds United,€13.4M
Samuel Chukwueze,26,Fulham FC,€13.3M
Mateo Kovacic ,31,Manchester City,€13.2M
Nordi Mukiele,28,Sunderland AFC,€13.2M
Oliver Scarles,20,West Ham United,€13.2M
Ao Tanaka,27,Leeds United,€13.1M
Luke Shaw,30,Manchester United,€13.1M
Jacob Murphy,31,Newcastle United,€13M
Issa Diop,29,Fulham FC,€12.9M
Marcus Edwards,27,Burnley FC,€12.9M
Andrew Robertson,31,Liverpool FC,€12.8M
Merlin Röhl,23,Everton FC,€12.7M
Lamare Bogarde,22,Aston Villa,€12.5M
